IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,205,1.94
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,192,1.52
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,190,1.13
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,194,1.01
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,204,0.92
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,200,0.88
20.233.248.31,8080,443,true,BOM,Asia Pacific,Mumbai,381,0.78
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,202,0.73
45.149.186.112,8080,443,true,HKG,Asia Pacific,Hong Kong,169,0.56
47.236.75.152,8080,8080,false,SIN,Asia Pacific,Singapore,190,0.47
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,209,0.45
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,209,0.44
47.237.14.220,8080,8080,false,SIN,Asia Pacific,Singapore,150,0.42
47.236.202.91,8080,8080,false,SIN,Asia Pacific,Singapore,194,0.39
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,156,0.37
47.236.123.133,8080,8080,false,SIN,Asia Pacific,Singapore,198,0.36
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,185,0.36
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,191,0.36
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,141,0.28
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,190,0.28
47.76.49.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,104,0.27
18.130.254.28,8080,443,true,LHR,Europe,London,487,0.27
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,191,0.27
47.237.95.140,8080,8080,false,SIN,Asia Pacific,Singapore,141,0.26
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,141,0.26
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,144,0.26
18.171.209.142,8080,443,true,LHR,Europe,London,541,0.22
47.236.180.24,8080,8080,false,SIN,Asia Pacific,Singapore,188,0.22
18.133.225.206,8080,443,true,LHR,Europe,London,514,0.19
18.185.51.67,8080,443,true,FRA,Europe,Frankfurt,484,0.17
3.72.113.19,8080,443,true,FRA,Europe,Frankfurt,463,0.15
3.8.172.27,8080,443,true,LHR,Europe,London,289,0.10
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,941,0.10
3.121.196.178,8080,443,true,FRA,Europe,Frankfurt,461,0.10
18.133.250.248,8080,443,true,LHR,Europe,London,533,0.07
16.171.20.42,8080,443,true,ARN,Europe,Stockholm,561,0.07
18.168.151.116,8080,443,true,LHR,Europe,London,509,0.05
20.113.60.62,8080,443,true,FRA,Europe,Frankfurt,524,0.04
13.41.76.64,8080,443,true,LHR,Europe,London,508,0.03
18.168.151.36,8080,443,true,LHR,Europe,London,494,0.02
13.42.36.146,8080,443,true,LHR,Europe,London,479,0.02
51.120.112.38,8080,443,true,CPH,Europe,Copenhagen,573,0.01
13.41.222.150,8080,443,true,LHR,Europe,London,489,0.01
18.133.134.185,8080,443,true,LHR,Europe,London,506,0.00
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,141,0.00
